d,t,ln(t),asin(ln(t)),p,ln(p),ln(ln(p)),asin(ln(ln(p))),ln(ln(p_s)),asin(ln(ln(p_s))),ln(p_s),p_s,asin(ln(ln(p_r))),ln(ln(p_r)),ln(p_r),p_r,dp,ln(dp),ln(ln(dp)),p_m,ln(p_m),ln(ln(p_m)),asin(ln(ln(p_m))),dp_m,ln(dp_m),ln(ln(dp_m)),ln(ln(dp))%,ln(ln(dp_m))%,ixic_p,ln(ixic_p),ixic_p_s,ln(ixic_p_s),ixic_p_r,ln(ixic_p_r),ixic_dp,ixic_dp%,ixic_diff_dp%
2010-10-07,0.0027,0.1001,0.0076,0.0600,0.1866,1.3212,0.1503,1.1158,0.1266,0.1519,0.0580,0.2408,2.0857,0.4008,0.0743,0.0237,0.9102,2.9059,0.0580,0.1531,1.1235,0.1275,0.0009,0.7063,2.6522,0.3607,0.0171,2391.6300,7.7797,2000.7690,7.6013,3411.8377,8.1350,0.1784,0.3343,0.0263
2010-10-08,0.0055,0.7932,0.0602,0.0800,0.4743,2.2540,0.2613,1.4864,0.1695,0.2201,0.0620,0.2837,2.4347,0.5682,0.0879,0.0918,1.3487,3.2992,0.0732,0.3853,2.0463,0.2360,0.0665,1.2072,3.1883,0.8934,0.7432,2384.7600,7.7769,2001.5384,7.6017,3413.1496,8.1354,0.1752,0.3282,0.5652
2010-10-09,0.0082,1.1987,0.0911,0.0900,0.5921,2.4758,0.2889,1.7032,0.1950,0.2734,0.0654,0.3092,2.6366,0.6953,0.0998,0.0939,1.3594,3.3070,0.0998,0.6953,2.6366,0.3092,0.1142,1.4591,3.3778,0.9041,1.0000,2384.7600,7.7769,2002.3080,7.6021,3414.4620,8.1358,0.1748,0.3275,0.5766
2010-10-10,0.0110,1.4864,0.1131,0.1000,0.6974,2.6396,0.3096,1.8570,0.2133,0.3189,0.0685,0.3275,2.7788,0.8016,0.1110,0.0963,1.3719,3.3162,0.0945,0.6405,2.5545,0.2988,0.0855,1.3153,3.2741,0.9165,0.8595,2384.7600,7.7769,2003.0779,7.6024,3415.7750,8.1362,0.1744,0.3268,0.5897
2010-10-11,0.0137,1.7095,0.1304,0.1000,0.6974,2.6396,0.3096,1.9763,0.2276,0.3593,0.0713,0.3418,2.8886,0.8945,0.1218,0.0820,1.2963,3.2595,0.0847,0.5316,2.3681,0.2754,0.0479,1.0885,3.0848,0.8397,0.6030,2403.4600,7.7847,2003.8481,7.6028,3417.0884,8.1365,0.1818,0.3407,0.4990
2010-10-12,0.0164,1.8919,0.1445,0.0900,0.5921,2.4758,0.2889,2.0738,0.2393,0.3961,0.0740,0.3535,2.9778,0.9780,0.1324,0.0495,1.0997,3.0951,0.0806,0.4812,2.2684,0.2631,0.0238,0.9106,2.9064,0.6170,0.3614,2397.7000,7.7823,2004.6186,7.6032,3418.4023,8.1369,0.1791,0.3355,0.2815
2010-10-13,0.0192,2.0460,0.1565,0.1000,0.6974,2.6396,0.3096,2.1562,0.2494,0.4301,0.0765,0.3636,3.0530,1.0544,0.1429,0.0602,1.1688,3.1559,0.0795,0.4682,2.2411,0.2597,0.0104,0.7962,2.7721,0.6994,0.1795,2432.5500,7.7967,2005.3894,7.6036,3419.7167,8.1373,0.1931,0.3618,0.3376
2010-10-14,0.0219,2.1795,0.1669,0.1000,0.6974,2.6396,0.3096,2.2276,0.2581,0.4619,0.0790,0.3723,3.1178,1.1251,0.1534,0.0515,1.1127,3.1068,0.0801,0.4751,2.2558,0.2616,0.0035,0.7315,2.6873,0.6329,0.0646,2441.2100,7.8002,2006.1605,7.6040,3421.0317,8.1377,0.1963,0.3677,0.2651
2010-10-15,0.0247,2.2973,0.1762,0.1000,0.6974,2.6396,0.3096,2.2906,0.2658,0.4919,0.0814,0.3800,3.1749,1.1911,0.1638,0.0437,1.0602,3.0585,0.0816,0.4939,2.2945,0.2663,0.0005,0.7023,2.6466,0.5674,0.0094,2461.7000,7.8086,2006.9319,7.6044,3422.3471,8.1381,0.2042,0.3827,0.1848
2010-10-16,0.0274,2.4027,0.1845,0.1000,0.6974,2.6396,0.3096,2.3469,0.2728,0.5204,0.0838,0.3870,3.2258,1.2533,0.1744,0.0368,1.0106,3.0105,0.0838,0.5209,2.3478,0.2729,0.0001,0.6985,2.6412,0.5025,0.0022,2461.7000,7.8086,2007.7036,7.6047,3423.6631,8.1385,0.2039,0.3820,0.1205
2010-10-17,0.0301,2.4980,0.1921,0.1000,0.6974,2.6396,0.3096,2.3979,0.2791,0.5477,0.0861,0.3933,3.2717,1.3123,0.1849,0.0304,0.9632,2.9625,0.0867,0.5548,2.4109,0.2808,0.0016,0.7135,2.6625,0.4374,0.0310,2461.7000,7.8086,2008.4756,7.6051,3424.9795,8.1389,0.2035,0.3812,0.0562
2010-10-18,0.0329,2.5850,0.1990,0.1000,0.6974,2.6396,0.3096,2.4444,0.2849,0.5737,0.0884,0.3991,3.3136,1.3683,0.1956,0.0246,0.9177,2.9141,0.0903,0.5954,2.4814,0.2896,0.0046,0.7427,2.7026,0.3718,0.0852,2470.1200,7.8120,2009.2479,7.6055,3426.2965,8.1392,0.2065,0.3869,-0.0151
2010-10-19,0.0356,2.6651,0.2053,0.1000,0.6974,2.6396,0.3096,2.4872,0.2903,0.5988,0.0906,0.4045,3.3520,1.4219,0.2064,0.0193,0.8737,2.8650,0.0947,0.6427,2.5579,0.2992,0.0089,0.7827,2.7550,0.3053,0.1564,2442.2100,7.8007,2010.0205,7.6059,3427.6139,8.1396,0.1948,0.3649,-0.0596
2010-10-20,0.0384,2.7392,0.2113,0.1000,0.6974,2.6396,0.3096,2.5268,0.2953,0.6230,0.0928,0.4095,3.3875,1.4733,0.2172,0.0143,0.8310,2.8149,0.1000,0.6974,2.6396,0.3096,0.0143,0.8310,2.8149,0.2375,0.2374,2443.2000,7.8011,2010.7934,7.6063,3428.9319,8.1400,0.1948,0.3649,-0.1275
2010-10-21,0.0411,2.8082,0.2168,0.1000,0.6974,2.6396,0.3096,2.5637,0.2999,0.6464,0.0950,0.4141,3.4205,1.5227,0.2282,0.0096,0.7894,2.7636,0.1065,0.7601,2.7257,0.3206,0.0207,0.8852,2.8781,0.1679,0.3231,2470.7200,7.8123,2011.5666,7.6067,3430.2504,8.1404,0.2056,0.3852,-0.2173
2010-10-22,0.0438,2.8727,0.2220,0.1100,0.7927,2.7677,0.3260,2.5982,0.3043,0.6691,0.0972,0.4185,3.4512,1.5703,0.2394,0.0217,0.8939,2.8878,0.1143,0.8315,2.8154,0.3322,0.0279,0.9435,2.9418,0.3362,0.4094,2461.6000,7.8086,2012.3401,7.6071,3431.5694,8.1408,0.2015,0.3776,-0.0413
