Date,BTC,IXIC
2010-10-07,0.06,2391.63
2010-10-08,0.08,2384.76
2010-10-09,0.09,2384.76
2010-10-10,0.10,2384.76
2010-10-11,0.10,2403.46
2010-10-12,0.09,2397.70
2010-10-13,0.10,2432.55
2010-10-14,0.10,2441.21
2010-10-15,0.10,2461.70
2010-10-16,0.10,2461.70
2010-10-17,0.10,2461.70
2010-10-18,0.10,2470.12
2010-10-19,0.10,2442.21
2010-10-20,0.10,2443.20
2010-10-21,0.10,2470.72
2010-10-22,0.11,2461.60
2010-10-23,0.11,2461.60
2010-10-24,0.11,2461.60
2010-10-25,0.15,2491.62
2010-10-26,0.16,2476.51
2010-10-27,0.18,2484.09
2010-10-28,0.19,2516.16
2010-10-29,0.19,2505.99
2010-10-30,0.19,2505.99
2010-10-31,0.19,2505.99
2010-11-01,0.19,2520.45
2010-11-02,0.19,2525.94
2010-11-03,0.19,2532.83
2010-11-04,0.21,2569.27
2010-11-05,0.24,2577.63
2010-11-06,0.29,2577.63
2010-11-07,0.36,2577.63
2010-11-08,0.32,2570.86
2010-11-09,0.27,2587.08
2010-11-10,0.20,2564.31
2010-11-11,0.22,2534.24
2010-11-12,0.26,2540.47
2010-11-13,0.29,2540.47
2010-11-14,0.28,2540.47
2010-11-15,0.27,2529.02
2010-11-16,0.25,2494.21
2010-11-17,0.26,2471.27
2010-11-18,0.27,2504.41
2010-11-19,0.27,2510.79
2010-11-20,0.28,2510.79
2010-11-21,0.28,2510.79
2010-11-22,0.28,2509.39
2010-11-23,0.28,2504.21
2010-11-24,0.28,2519.89
2010-11-25,0.28,2519.89
2010-11-26,0.28,2525.91
2010-11-27,0.28,2525.91
2010-11-28,0.28,2525.91
2010-11-29,0.25,2522.24
2010-11-30,0.21,2497.12
2010-12-01,0.21,2535.19
2010-12-02,0.24,2553.68
2010-12-03,0.25,2569.02
2010-12-04,0.23,2569.02
2010-12-05,0.21,2569.02
2010-12-06,0.20,2591.28
2010-12-07,0.22,2623.15
2010-12-08,0.23,2604.57
2010-12-09,0.21,2623.15
2010-12-10,0.19,2623.28
2010-12-11,0.22,2623.28
2010-12-12,0.21,2623.28
2010-12-13,0.22,2645.35
2010-12-14,0.23,2631.34
2010-12-15,0.24,2625.81
2010-12-16,0.25,2620.56
2010-12-17,0.25,2643.35
2010-12-18,0.25,2643.35
2010-12-19,0.24,2643.35
2010-12-20,0.26,2651.98
2010-12-21,0.25,2658.94
2010-12-22,0.25,2669.00
2010-12-23,0.25,2667.42
2010-12-24,0.25,2667.42
2010-12-25,0.25,2667.42
2010-12-26,0.25,2667.42
2010-12-27,0.26,2657.09
2010-12-28,0.27,2671.85
2010-12-29,0.29,2667.18
2010-12-30,0.30,2665.68
2010-12-31,0.29,2660.58
2011-01-01,0.30,2660.58
2011-01-02,0.30,2660.58
2011-01-03,0.30,2676.65
2011-01-04,0.29,2699.86
2011-01-05,0.30,2673.91
