Date,Price
2010-10-07,0.06
2010-10-08,0.08
2010-10-09,0.09
2010-10-10,0.10
2010-10-11,0.10
2010-10-12,0.09
2010-10-13,0.10
2010-10-14,0.10
2010-10-15,0.10
2010-10-16,0.10
2010-10-17,0.10
2010-10-18,0.10
2010-10-19,0.10
2010-10-20,0.10
2010-10-21,0.10
2010-10-22,0.11
2010-10-23,0.11
2010-10-24,0.11
2010-10-25,0.15
2010-10-26,0.16
2010-10-27,0.18
2010-10-28,0.19
2010-10-29,0.19
2010-10-30,0.19
2010-10-31,0.19
2010-11-01,0.19
2010-11-02,0.19
2010-11-03,0.19
2010-11-04,0.21
2010-11-05,0.24
2010-11-06,0.29
2010-11-07,0.36
2010-11-08,0.32
2010-11-09,0.27
2010-11-10,0.20
2010-11-11,0.22
2010-11-12,0.26
2010-11-13,0.29
2010-11-14,0.28
2010-11-15,0.27
2010-11-16,0.25
2010-11-17,0.26
2010-11-18,0.27
2010-11-19,0.27
2010-11-20,0.28
2010-11-21,0.28
2010-11-22,0.28
2010-11-23,0.28
2010-11-24,0.28
2010-11-25,0.28
2010-11-26,0.28
2010-11-27,0.28
2010-11-28,0.28
2010-11-29,0.25
2010-11-30,0.21
2010-12-01,0.21
2010-12-02,0.24
2010-12-03,0.25
2010-12-04,0.23
2010-12-05,0.21
2010-12-06,0.20
2010-12-07,0.22
2010-12-08,0.23
2010-12-09,0.21
2010-12-10,0.19
2010-12-11,0.22
2010-12-12,0.21
2010-12-13,0.22
2010-12-14,0.23
2010-12-15,0.24
2010-12-16,0.25
2010-12-17,0.25
2010-12-18,0.25
2010-12-19,0.24
2010-12-20,0.26
2010-12-21,0.25
2010-12-22,0.25
2010-12-23,0.25
2010-12-24,0.25
2010-12-25,0.25
2010-12-26,0.25
2010-12-27,0.26
2010-12-28,0.27
2010-12-29,0.29
2010-12-30,0.30
2010-12-31,0.29
2011-01-01,0.30
2011-01-02,0.30
2011-01-03,0.30
2011-01-04,0.29
2011-01-05,0.30
2011-01-06,0.30
2011-01-07,0.31
2011-01-08,0.31
2011-01-09,0.32
2011-01-10,0.32
2011-01-11,0.32
2011-01-12,0.34
2011-01-13,0.36
2011-01-14,0.39
2011-01-15,0.39
2011-01-16,0.39
2011-01-17,0.35
2011-01-18,0.32
2011-01-19,0.31
2011-01-20,0.35
2011-01-21,0.40
2011-01-22,0.43
2011-01-23,0.44
2011-01-24,0.41
2011-01-25,0.42
2011-01-26,0.41
2011-01-27,0.44
2011-01-28,0.43
2011-01-29,0.44
2011-01-30,0.46
2011-01-31,0.51
2011-02-01,0.74
2011-02-02,0.73
2011-02-03,0.71
2011-02-04,0.80
2011-02-05,0.86
2011-02-06,0.87
2011-02-07,0.86
2011-02-08,0.90
2011-02-09,0.96
2011-02-10,0.96
2011-02-11,0.99
2011-02-12,1.06
2011-02-13,1.05
2011-02-14,1.06
2011-02-15,1.05
2011-02-16,1.04
2011-02-17,1.04
2011-02-18,0.89
2011-02-19,0.91
2011-02-20,0.85
2011-02-21,0.84
2011-02-22,0.88
2011-02-23,0.90
2011-02-24,0.95
2011-02-25,0.96
2011-02-26,0.94
2011-02-27,0.93
2011-02-28,0.88
2011-03-01,0.95
2011-03-02,0.92
2011-03-03,0.92
2011-03-04,0.91
2011-03-05,0.88
2011-03-06,0.85
2011-03-07,0.89
2011-03-08,0.87
2011-03-09,0.85
2011-03-10,0.89
2011-03-11,0.89
2011-03-12,0.90
2011-03-13,0.90
2011-03-14,0.89
2011-03-15,0.88
2011-03-16,0.85
2011-03-17,0.84
2011-03-18,0.77
2011-03-19,0.76
2011-03-20,0.77
2011-03-21,0.75
2011-03-22,0.78
2011-03-23,0.83
2011-03-24,0.88
2011-03-25,0.88
2011-03-26,0.87
2011-03-27,0.83
2011-03-28,0.81
2011-03-29,0.79
2011-03-30,0.79
2011-03-31,0.79
2011-04-01,0.78
2011-04-02,0.79
2011-04-03,0.78
2011-04-04,0.69
2011-04-05,0.67
2011-04-06,0.72
2011-04-07,0.75
2011-04-08,0.76
2011-04-09,0.74
2011-04-10,0.74
2011-04-11,0.77
2011-04-12,0.85
2011-04-13,0.93
2011-04-14,0.95
2011-04-15,1.00
2011-04-16,1.04
2011-04-17,1.08
2011-04-18,1.15
2011-04-19,1.18
2011-04-20,1.16
2011-04-21,1.18
2011-04-22,1.29
2011-04-23,1.55
2011-04-24,1.67
2011-04-25,1.58
2011-04-26,1.67
2011-04-27,1.89
2011-04-28,2.03
2011-04-29,2.59
2011-04-30,3.29
2011-05-01,3.14
2011-05-02,3.24
2011-05-03,3.32
2011-05-04,3.44
2011-05-05,3.41
2011-05-06,3.48
2011-05-07,3.61
2011-05-08,3.77
2011-05-09,3.80
2011-05-10,4.74
2011-05-11,5.35
2011-05-12,5.83
2011-05-13,7.48
2011-05-14,7.86
2011-05-15,6.74
2011-05-16,7.77
2011-05-17,7.52
2011-05-18,7.14
2011-05-19,6.96
2011-05-20,6.28
2011-05-21,5.97
2011-05-22,6.47
2011-05-23,7.10
2011-05-24,7.23
2011-05-25,7.98
2011-05-26,8.55
2011-05-27,8.67
2011-05-28,8.45
2011-05-29,8.30
2011-05-30,8.72
2011-05-31,8.88
2011-06-01,9.21
2011-06-02,10.11
2011-06-03,13.08
2011-06-04,16.41
2011-06-05,17.32
2011-06-06,18.46
2011-06-07,19.90
2011-06-08,27.25
2011-06-09,29.58
2011-06-10,24.67
2011-06-11,17.61
2011-06-12,16.21
2011-06-13,20.11
2011-06-14,19.25
2011-06-15,19.68
2011-06-16,18.86
2011-06-17,15.51
2011-06-18,16.04
2011-06-19,17.77
2011-06-20,17.46
2011-06-21,17.15
2011-06-22,16.84
2011-06-23,16.52
2011-06-24,16.21
2011-06-25,15.90
2011-06-26,15.59
2011-06-27,17.01
2011-06-28,16.93
2011-06-29,16.88
2011-06-30,16.51
2011-07-01,15.90
2011-07-02,15.53
2011-07-03,15.48
2011-07-04,14.48
2011-07-05,12.80
2011-07-06,14.80
2011-07-07,15.16
2011-07-08,14.35
2011-07-09,14.39
2011-07-10,15.08
2011-07-11,14.37
2011-07-12,14.15
2011-07-13,14.03
2011-07-14,13.93
2011-07-15,13.90
2011-07-16,13.62
2011-07-17,13.34
2011-07-18,13.03
2011-07-19,14.04
2011-07-20,13.69
2011-07-21,13.66
2011-07-22,13.65
2011-07-23,13.64
2011-07-24,13.86
2011-07-25,14.20
2011-07-26,13.91
2011-07-27,13.96
2011-07-28,13.61
2011-07-29,13.51
2011-07-30,13.53
2011-07-31,13.52
2011-08-01,13.17
2011-08-02,12.39
2011-08-03,10.45
2011-08-04,10.58
2011-08-05,10.27
2011-08-06,7.82
2011-08-07,7.72
2011-08-08,7.74
2011-08-09,9.72
2011-08-10,10.00
2011-08-11,9.47
2011-08-12,9.32
2011-08-13,9.80
2011-08-14,10.61
2011-08-15,11.30
2011-08-16,11.05
2011-08-17,10.88
2011-08-18,10.90
2011-08-19,11.40
2011-08-20,11.49
2011-08-21,11.38
2011-08-22,11.03
2011-08-23,11.03
2011-08-24,10.94
2011-08-25,10.01
2011-08-26,8.65
2011-08-27,8.63
2011-08-28,8.97
2011-08-29,8.93
2011-08-30,8.78
2011-08-31,8.35
2011-09-01,8.22
2011-09-02,8.44
2011-09-03,8.53
2011-09-04,8.17
2011-09-05,7.62
2011-09-06,6.73
2011-09-07,7.03
2011-09-08,6.80
2011-09-09,5.31
2011-09-10,5.03
2011-09-11,6.07
2011-09-12,6.04
2011-09-13,5.84
2011-09-14,5.56
2011-09-15,4.98
2011-09-16,4.82
2011-09-17,4.81
2011-09-18,5.14
2011-09-19,5.29
2011-09-20,6.11
2011-09-21,5.63
2011-09-22,5.54
2011-09-23,5.61
2011-09-24,5.45
2011-09-25,5.41
2011-09-26,4.96
2011-09-27,4.92
2011-09-28,4.77
2011-09-29,4.74
2011-09-30,5.02
2011-10-01,5.05
2011-10-02,4.98
2011-10-03,4.97
2011-10-04,4.96
2011-10-05,4.90
2011-10-06,4.69
2011-10-07,4.29
2011-10-08,4.03
2011-10-09,4.19
2011-10-10,4.10
2011-10-11,3.95
2011-10-12,4.07
2011-10-13,4.08
2011-10-14,4.01
2011-10-15,3.89
2011-10-16,3.64
2011-10-17,2.85
2011-10-18,2.62
2011-10-19,2.28
2011-10-20,2.31
2011-10-21,2.54
2011-10-22,3.01
2011-10-23,3.08
2011-10-24,2.81
2011-10-25,2.74
2011-10-26,2.75
2011-10-27,2.92
2011-10-28,3.11
2011-10-29,3.54
2011-10-30,3.38
2011-10-31,3.19
2011-11-01,3.19
2011-11-02,3.23
2011-11-03,3.21
2011-11-04,3.13
2011-11-05,3.01
2011-11-06,2.96
2011-11-07,3.00
2011-11-08,3.09
2011-11-09,3.00
2011-11-10,2.87
2011-11-11,2.97
2011-11-12,3.06
2011-11-13,3.00
2011-11-14,2.51
2011-11-15,2.30
2011-11-16,2.46
2011-11-17,2.23
2011-11-18,2.14
2011-11-19,2.17
2011-11-20,2.28
2011-11-21,2.23
2011-11-22,2.31
2011-11-23,2.32
2011-11-24,2.42
2011-11-25,2.47
2011-11-26,2.48
2011-11-27,2.46
2011-11-28,2.51
2011-11-29,2.79
2011-11-30,2.91
2011-12-01,3.05
2011-12-02,3.10
2011-12-03,2.93
2011-12-04,2.75
2011-12-05,2.87
2011-12-06,2.98
2011-12-07,3.00
2011-12-08,2.95
2011-12-09,2.99
2011-12-10,3.04
2011-12-11,3.20
2011-12-12,3.18
2011-12-13,3.21
2011-12-14,3.12
2011-12-15,3.17
2011-12-16,3.18
2011-12-17,3.19
2011-12-18,3.20
2011-12-19,3.41
2011-12-20,3.97
2011-12-21,3.93
2011-12-22,3.79
2011-12-23,3.90
2011-12-24,3.92
2011-12-25,4.14
2011-12-26,4.04
2011-12-27,4.03
2011-12-28,4.14
2011-12-29,4.22
2011-12-30,4.19
2011-12-31,4.60
2012-01-01,5.10
2012-01-02,5.21
2012-01-03,4.95
2012-01-04,5.25
2012-01-05,6.20
2012-01-06,6.79
2012-01-07,6.72
2012-01-08,7.05
2012-01-09,6.47
2012-01-10,6.40
2012-01-11,6.81
2012-01-12,6.74
2012-01-13,6.61
2012-01-14,6.59
2012-01-15,6.90
2012-01-16,6.83
2012-01-17,6.04
2012-01-18,5.98
2012-01-19,6.18
2012-01-20,6.44
2012-01-21,6.29
2012-01-22,6.29
2012-01-23,6.31
2012-01-24,6.30
2012-01-25,5.88
2012-01-26,5.59
2012-01-27,5.29
2012-01-28,5.57
2012-01-29,5.48
2012-01-30,5.51
2012-01-31,5.53
2012-02-01,5.82
2012-02-02,6.03
2012-02-03,5.92
2012-02-04,5.92
2012-02-05,5.68
2012-02-06,5.55
2012-02-07,5.62
2012-02-08,5.64
2012-02-09,5.75
2012-02-10,5.88
2012-02-11,5.70
2012-02-12,5.60
2012-02-13,5.34
2012-02-14,4.70
2012-02-15,4.58
2012-02-16,4.19
2012-02-17,4.46
2012-02-18,4.27
2012-02-19,4.35
2012-02-20,4.37
2012-02-21,4.31
2012-02-22,4.44
2012-02-23,4.82
2012-02-24,4.98
2012-02-25,4.88
2012-02-26,4.96
2012-02-27,4.95
2012-02-28,4.87
2012-02-29,4.86
2012-03-01,4.94
2012-03-02,4.69
2012-03-03,4.68
2012-03-04,4.81
2012-03-05,4.95
2012-03-06,4.98
2012-03-07,4.93
2012-03-08,4.87
2012-03-09,4.90
2012-03-10,4.82
2012-03-11,4.91
2012-03-12,4.91
2012-03-13,5.16
2012-03-14,5.37
2012-03-15,5.33
2012-03-16,5.35
2012-03-17,5.32
2012-03-18,5.26
2012-03-19,4.88
2012-03-20,4.79
2012-03-21,4.82
2012-03-22,4.76
2012-03-23,4.70
2012-03-24,4.65
2012-03-25,4.50
2012-03-26,4.65
2012-03-27,4.67
2012-03-28,4.79
2012-03-29,4.77
2012-03-30,4.80
2012-03-31,4.89
2012-04-01,4.79
2012-04-02,4.94
2012-04-03,4.90
2012-04-04,4.93
2012-04-05,4.91
2012-04-06,4.94
2012-04-07,4.80
2012-04-08,4.72
2012-04-09,4.78
2012-04-10,4.83
2012-04-11,4.89
2012-04-12,4.89
2012-04-13,4.86
2012-04-14,4.98
2012-04-15,4.92
2012-04-16,4.95
2012-04-17,4.96
2012-04-18,5.08
2012-04-19,5.15
2012-04-20,5.23
2012-04-21,5.27
2012-04-22,5.18
2012-04-23,5.12
2012-04-24,5.07
2012-04-25,5.13
2012-04-26,5.08
2012-04-27,5.08
2012-04-28,4.96
2012-04-29,4.94
2012-04-30,4.94
2012-05-01,4.96
2012-05-02,5.08
2012-05-03,5.09
2012-05-04,5.12
2012-05-05,5.07
2012-05-06,5.05
2012-05-07,5.04
2012-05-08,5.03
2012-05-09,5.05
2012-05-10,4.96
2012-05-11,4.93
2012-05-12,4.95
2012-05-13,4.96
2012-05-14,4.99
2012-05-15,5.01
2012-05-16,5.07
2012-05-17,5.08
2012-05-18,5.10
2012-05-19,5.11
2012-05-20,5.12
2012-05-21,5.10
2012-05-22,5.08
2012-05-23,5.13
2012-05-24,5.12
2012-05-25,5.13
2012-05-26,5.12
2012-05-27,5.12
2012-05-28,5.13
2012-05-29,5.11
2012-05-30,5.14
2012-05-31,5.16
2012-06-01,5.24
2012-06-02,5.24
2012-06-03,5.22
2012-06-04,5.23
2012-06-05,5.39
2012-06-06,5.44
2012-06-07,5.50
2012-06-08,5.62
2012-06-09,5.57
2012-06-10,5.49
2012-06-11,5.51
2012-06-12,5.60
2012-06-13,5.86
2012-06-14,5.90
2012-06-15,6.12
2012-06-16,6.46
2012-06-17,6.33
2012-06-18,6.27
2012-06-19,6.44
2012-06-20,6.61
2012-06-21,6.69
2012-06-22,6.58
2012-06-23,6.50
2012-06-24,6.41
2012-06-25,6.32
2012-06-26,6.40
2012-06-27,6.53
2012-06-28,6.59
2012-06-29,6.63
2012-06-30,6.66
2012-07-01,6.60
2012-07-02,6.71
2012-07-03,6.55
2012-07-04,6.51
2012-07-05,6.65
2012-07-06,6.64
2012-07-07,6.77
2012-07-08,6.79
2012-07-09,6.90
2012-07-10,7.10
2012-07-11,7.11
2012-07-12,7.30
2012-07-13,7.63
2012-07-14,7.60
2012-07-15,7.58
2012-07-16,8.08
2012-07-17,8.34
2012-07-18,9.02
2012-07-19,9.09
2012-07-20,8.20
2012-07-21,8.88
2012-07-22,8.62
2012-07-23,8.46
2012-07-24,8.63
2012-07-25,8.59
2012-07-26,8.77
2012-07-27,8.89
2012-07-28,8.86
2012-07-29,8.77
2012-07-30,8.95
2012-07-31,9.24
2012-08-01,9.43
2012-08-02,10.13
2012-08-03,10.73
2012-08-04,11.00
2012-08-05,10.63
2012-08-06,10.90
2012-08-07,10.85
2012-08-08,11.04
2012-08-09,11.33
2012-08-10,11.41
2012-08-11,11.50
2012-08-12,11.64
2012-08-13,11.79
2012-08-14,12.09
2012-08-15,12.61
2012-08-16,13.23
2012-08-17,13.26
2012-08-18,11.87
2012-08-19,9.09
2012-08-20,9.53
2012-08-21,10.03
2012-08-22,9.86
2012-08-23,10.00
2012-08-24,10.27
2012-08-25,10.45
2012-08-26,10.55
2012-08-27,11.18
2012-08-28,10.90
2012-08-29,10.84
2012-08-30,10.76
2012-08-31,10.18
2012-09-01,10.00
2012-09-02,10.05
2012-09-03,10.35
2012-09-04,10.30
2012-09-05,10.75
2012-09-06,10.94
2012-09-07,11.10
2012-09-08,10.98
2012-09-09,11.05
2012-09-10,11.04
2012-09-11,11.11
2012-09-12,11.21
2012-09-13,11.34
2012-09-14,11.58
2012-09-15,11.71
2012-09-16,11.88
2012-09-17,11.90
2012-09-18,12.06
2012-09-19,12.41
2012-09-20,12.48
2012-09-21,12.27
2012-09-22,12.22
2012-09-23,12.00
2012-09-24,12.12
2012-09-25,12.11
2012-09-26,12.23
2012-09-27,12.32
2012-09-28,12.35
2012-09-29,12.40
2012-09-30,12.38
2012-10-01,12.39
2012-10-02,12.63
2012-10-03,12.84
2012-10-04,12.88
2012-10-05,12.75
2012-10-06,12.58
2012-10-07,12.01
2012-10-08,11.26
2012-10-09,11.97
2012-10-10,12.02
2012-10-11,12.03
2012-10-12,12.05
2012-10-13,11.96
2012-10-14,11.84
2012-10-15,11.72
2012-10-16,11.79
2012-10-17,11.88
2012-10-18,11.88
2012-10-19,11.76
2012-10-20,11.72
2012-10-21,11.68
2012-10-22,11.70
2012-10-23,11.73
2012-10-24,11.68
2012-10-25,11.03
2012-10-26,10.31
2012-10-27,10.38
2012-10-28,10.57
2012-10-29,10.65
2012-10-30,10.75
2012-10-31,11.02
2012-11-01,10.93
2012-11-02,10.58
2012-11-03,10.54
2012-11-04,10.67
2012-11-05,10.73
2012-11-06,10.80
2012-11-07,10.98
2012-11-08,10.92
2012-11-09,10.86
2012-11-10,10.85
2012-11-11,10.81
2012-11-12,10.99
2012-11-13,11.00
2012-11-14,10.95
2012-11-15,11.08
2012-11-16,11.49
2012-11-17,11.67
2012-11-18,11.71
2012-11-19,11.72
2012-11-20,11.69
2012-11-21,11.72
2012-11-22,12.07
2012-11-23,12.30
2012-11-24,12.37
2012-11-25,12.49
2012-11-26,12.36
2012-11-27,12.10
2012-11-28,12.28
2012-11-29,12.43
2012-11-30,12.56
2012-12-01,12.58
2012-12-02,12.56
2012-12-03,12.57
2012-12-04,13.03
2012-12-05,13.28
2012-12-06,13.38
2012-12-07,13.35
2012-12-08,13.46
2012-12-09,13.23
2012-12-10,13.42
2012-12-11,13.50
2012-12-12,13.60
2012-12-13,13.70
2012-12-14,13.56
2012-12-15,13.54
2012-12-16,13.35
2012-12-17,13.19
2012-12-18,13.24
2012-12-19,13.40
2012-12-20,13.53
2012-12-21,13.52
2012-12-22,13.42
2012-12-23,13.22
2012-12-24,13.38
2012-12-25,13.31
2012-12-26,13.34
2012-12-27,13.38
2012-12-28,13.45
2012-12-29,13.49
2012-12-30,13.45
2012-12-31,13.48
2013-01-01,13.34
2013-01-02,13.31
2013-01-03,13.36
2013-01-04,13.42
2013-01-05,13.45
2013-01-06,13.46
2013-01-07,13.50
2013-01-08,13.71
2013-01-09,13.73
2013-01-10,14.04
2013-01-11,14.11
2013-01-12,14.16
2013-01-13,14.10
